mq2,mq7,temp,humidity,air_quality
207,95,37,31,Moderate
114,56,28,65,Safe
424,211,26,55,Harmful
398,180,29,59,Harmful
168,62,41,51,Safe
169,50,29,48,Safe
112,31,27,40,Safe
204,91,26,53,Moderate
131,42,25,60,Safe
126,35,24,72,Safe
358,159,32,38,Harmful
126,58,34,63,Safe
228,130,24,31,Moderate
107,61,39,67,Safe
369,204,33,51,Harmful
112,27,32,72,Safe
436,193,25,50,Harmful
222,139,36,74,Moderate
450,207,34,57,Harmful
159,32,40,58,Safe
231,118,38,35,Moderate
356,257,40,52,Harmful
272,120,24,66,Moderate
237,111,33,67,Moderate
252,86,33,71,Moderate
370,245,34,30,Harmful
438,217,35,61,Harmful
201,118,36,53,Moderate
322,160,33,43,Harmful
231,90,37,46,Moderate
390,189,32,41,Harmful
338,233,36,48,Harmful
132,30,31,55,Safe
285,74,31,52,Moderate
333,217,27,67,Harmful
426,214,40,60,Harmful
289,115,28,44,Moderate
448,238,36,60,Harmful
410,187,33,34,Harmful
241,127,32,39,Moderate
447,183,24,75,Harmful
103,38,28,75,Safe
175,57,36,51,Safe
367,191,36,48,Harmful
243,79,30,33,Moderate
157,32,27,37,Safe
126,42,34,39,Safe
183,51,38,65,Safe
350,165,31,64,Harmful
105,48,41,74,Safe
217,134,38,43,Moderate
345,157,35,41,Harmful
220,99,36,74,Moderate
113,63,33,34,Safe
158,25,42,45,Safe
233,112,24,73,Moderate
157,54,30,60,Safe
374,234,41,40,Harmful
289,89,40,66,Moderate
267,74,24,41,Moderate
112,58,39,38,Safe
257,122,36,32,Moderate
214,106,28,49,Moderate
268,91,39,50,Moderate
244,70,41,51,Moderate
160,51,34,53,Safe
266,103,36,67,Moderate
394,186,37,56,Harmful
415,249,37,51,Harmful
203,122,40,34,Moderate
262,140,31,65,Moderate
289,129,37,57,Moderate
226,129,27,44,Moderate
326,204,30,59,Harmful
441,226,35,37,Harmful
346,229,35,53,Harmful
376,166,41,74,Harmful
270,76,28,65,Moderate
222,105,39,68,Moderate
100,29,32,67,Safe
300,191,30,36,Harmful
262,107,32,70,Moderate
279,98,42,50,Moderate
133,42,33,63,Safe
375,237,26,69,Harmful
306,258,35,50,Harmful
120,52,40,32,Safe
265,101,35,74,Moderate
132,55,42,58,Safe
137,33,42,60,Safe
137,52,39,74,Safe
282,112,35,38,Moderate
274,131,40,30,Moderate
122,57,33,67,Safe
177,46,26,62,Safe
184,61,30,38,Safe
141,34,31,41,Safe
260,115,31,55,Moderate
322,204,28,74,Harmful
413,236,35,63,Harmful
247,97,34,64,Moderate
406,198,28,49,Harmful
371,153,39,53,Harmful
172,65,34,68,Safe
251,125,28,48,Moderate
433,197,42,67,Harmful
361,258,42,59,Harmful
164,46,27,59,Safe
137,42,25,68,Safe
120,49,30,49,Safe
175,63,35,45,Safe
266,126,38,47,Moderate
124,48,27,43,Safe
158,46,35,54,Safe
262,79,32,49,Moderate
387,244,36,45,Harmful
271,128,38,64,Moderate
383,194,40,36,Harmful
133,23,29,45,Safe
396,157,34,49,Harmful
227,103,26,43,Moderate
189,56,34,74,Safe
234,112,35,35,Moderate
326,161,33,49,Harmful
221,139,32,73,Moderate
124,46,41,39,Safe
328,216,38,37,Harmful
285,82,30,58,Moderate
346,232,34,69,Harmful
137,61,37,34,Safe
218,70,26,31,Moderate
229,123,32,72,Moderate
211,123,36,42,Moderate
266,101,30,40,Moderate
249,113,32,69,Moderate
417,201,36,33,Harmful
283,106,39,47,Moderate
138,38,28,35,Safe
235,90,25,37,Moderate
271,133,35,75,Moderate
263,137,41,69,Moderate
304,185,38,65,Harmful
204,109,41,44,Moderate
399,218,34,47,Harmful
206,77,38,56,Moderate
181,43,38,31,Safe
216,80,25,67,Moderate
188,35,38,59,Safe
344,167,33,33,Harmful
328,218,37,60,Harmful
381,207,39,41,Harmful
446,219,26,55,Harmful
168,28,30,66,Safe
398,224,34,68,Harmful
446,207,40,50,Harmful
408,157,37,37,Harmful
332,179,27,73,Harmful
282,109,35,43,Moderate
240,132,35,75,Moderate
175,62,31,56,Safe
335,231,27,63,Harmful
229,100,26,31,Moderate
156,48,42,69,Safe
287,121,36,39,Moderate
189,34,42,45,Safe
275,89,42,47,Moderate
179,37,29,74,Safe
264,102,28,69,Moderate
373,243,42,31,Harmful
369,197,24,75,Harmful
228,92,30,45,Moderate
374,194,35,62,Harmful
211,96,42,60,Moderate
134,30,39,51,Safe
305,239,40,67,Harmful
401,192,24,73,Harmful
418,243,25,50,Harmful
219,91,26,66,Moderate
442,214,28,41,Harmful
135,44,36,35,Safe
427,190,27,60,Harmful
379,201,42,39,Harmful
104,28,31,33,Safe
221,72,33,60,Moderate
362,213,41,72,Harmful
278,140,28,51,Moderate
448,246,36,49,Harmful
126,27,30,68,Safe
234,115,35,68,Moderate
163,35,34,54,Safe
376,212,38,32,Harmful
160,57,33,63,Safe
289,95,28,43,Moderate
207,85,27,65,Moderate
401,242,26,52,Harmful
135,52,37,61,Safe
312,215,29,32,Harmful
256,112,25,30,Moderate
259,121,37,54,Moderate
245,109,28,55,Moderate
141,42,40,34,Safe
314,243,42,71,Harmful
290,107,30,39,Moderate
132,62,40,54,Safe
221,106,30,33,Moderate
203,87,35,74,Moderate
339,214,25,75,Harmful
236,75,37,61,Moderate
339,253,27,54,Harmful
263,82,38,54,Moderate
274,129,26,47,Moderate
105,27,35,50,Safe
314,243,25,30,Harmful
183,31,33,60,Safe
221,135,27,60,Moderate
398,161,38,55,Harmful
185,54,30,35,Safe
314,189,33,39,Harmful
182,56,32,50,Safe
446,260,40,62,Harmful
351,237,34,74,Harmful
123,48,26,56,Safe
258,70,30,46,Moderate
402,174,25,44,Harmful
416,167,39,72,Harmful
273,126,24,40,Moderate
157,55,39,41,Safe
270,93,26,43,Moderate
241,90,32,74,Moderate
342,167,26,72,Harmful
263,131,29,52,Moderate
133,63,37,32,Safe
266,136,29,32,Moderate
235,139,37,71,Moderate
181,45,39,66,Safe
145,29,35,42,Safe
429,157,30,73,Harmful
407,173,38,64,Harmful
382,203,35,43,Harmful
224,116,28,33,Moderate
113,39,40,41,Safe
183,50,35,52,Safe
400,158,28,54,Harmful
168,41,26,49,Safe
366,184,40,40,Harmful
231,109,32,70,Moderate
150,38,29,73,Safe
128,49,28,64,Safe
210,101,31,69,Moderate
226,73,40,30,Moderate
234,122,34,57,Moderate
117,36,38,37,Safe
271,121,24,34,Moderate
120,35,30,74,Safe
182,62,24,36,Safe
172,46,41,74,Safe
342,233,24,51,Harmful
289,103,31,42,Moderate
122,50,41,66,Safe
229,73,42,73,Moderate
152,32,25,67,Safe
187,56,42,60,Safe
200,95,30,41,Moderate
395,194,32,30,Harmful
142,33,36,41,Safe
375,206,36,33,Harmful
289,129,36,62,Moderate
245,71,42,66,Moderate
262,90,40,57,Moderate
185,40,29,65,Safe
317,178,33,65,Harmful
170,49,27,65,Safe
372,230,25,65,Harmful
259,133,30,47,Moderate
124,47,30,53,Safe
210,122,40,67,Moderate
446,238,29,40,Harmful
209,117,28,58,Moderate
389,181,30,35,Harmful
356,200,42,65,Harmful
227,137,31,40,Moderate
384,254,42,51,Harmful
215,91,27,38,Moderate
337,215,28,36,Harmful
360,242,42,33,Harmful
238,140,31,59,Moderate
190,43,26,75,Safe
315,200,32,66,Harmful
179,61,35,74,Safe
247,120,32,68,Moderate
176,64,28,65,Safe
256,86,27,56,Moderate
355,237,38,32,Harmful
440,185,40,35,Harmful
186,28,30,74,Safe
346,254,27,37,Harmful
178,26,34,35,Safe
272,109,36,67,Moderate
108,57,38,60,Safe
167,46,39,66,Safe
274,128,41,73,Moderate
218,137,32,68,Moderate
263,78,39,56,Moderate
276,74,42,32,Moderate
421,234,32,59,Harmful
272,81,33,74,Moderate
178,61,28,54,Safe
161,25,30,36,Safe
290,131,26,30,Moderate
369,239,30,48,Harmful
236,79,29,62,Moderate
351,260,36,74,Harmful
137,60,33,32,Safe
332,217,37,65,Harmful
111,56,38,45,Safe
428,152,41,64,Harmful
443,260,34,40,Harmful
105,24,37,45,Safe
143,33,25,65,Safe
222,86,40,71,Moderate
110,40,40,47,Safe
407,191,30,43,Harmful
132,55,27,75,Safe
158,52,37,53,Safe
223,103,41,32,Moderate
284,96,26,44,Moderate
101,41,31,42,Safe
229,133,28,53,Moderate
412,179,39,73,Harmful
341,232,26,62,Harmful
323,210,34,70,Harmful
119,62,29,63,Safe
148,65,40,51,Safe
237,94,41,57,Moderate
264,75,31,48,Moderate
362,238,27,68,Harmful
258,138,36,38,Moderate
341,202,31,62,Harmful
232,88,41,62,Moderate
160,65,41,37,Safe
218,119,33,36,Moderate
144,26,37,53,Safe
283,103,25,71,Moderate
151,42,28,56,Safe
398,165,42,72,Harmful
325,224,34,57,Harmful
225,114,40,59,Moderate
425,161,25,35,Harmful
341,257,36,48,Harmful
144,53,26,54,Safe
268,98,28,35,Moderate
264,114,41,65,Moderate
233,121,27,37,Moderate
368,237,39,62,Harmful
277,136,28,59,Moderate
173,24,24,45,Safe
367,202,41,71,Harmful
372,216,31,58,Harmful
232,111,32,60,Moderate
216,89,42,52,Moderate
258,130,24,42,Moderate
159,58,35,32,Safe
278,98,40,55,Moderate
375,184,32,58,Harmful
216,112,36,44,Moderate
184,20,41,44,Safe
365,260,41,57,Harmful
245,107,31,30,Moderate
328,175,37,32,Harmful
338,171,25,36,Harmful
339,203,33,48,Harmful
363,247,30,58,Harmful
407,173,33,71,Harmful
142,38,33,58,Safe
396,234,32,60,Harmful
250,133,35,40,Moderate
255,133,35,65,Moderate
137,23,32,60,Safe
430,202,27,75,Harmful
224,99,31,50,Moderate
416,220,34,46,Harmful
379,260,27,65,Harmful
357,230,28,73,Harmful
418,164,39,33,Harmful
450,170,34,53,Harmful
181,28,40,41,Safe
133,21,39,51,Safe
255,93,35,56,Moderate
184,52,33,43,Safe
127,26,36,66,Safe
214,134,37,57,Moderate
216,120,42,42,Moderate
255,92,34,69,Moderate
218,79,26,35,Moderate
321,243,35,38,Harmful
247,140,30,63,Moderate
429,215,41,65,Harmful
152,26,31,52,Safe
118,57,35,64,Safe
159,40,35,36,Safe
280,134,36,66,Moderate
187,32,36,70,Safe
349,170,37,53,Harmful
304,218,24,39,Harmful
266,121,28,38,Moderate
430,186,24,47,Harmful
143,56,27,38,Safe
408,214,39,66,Harmful
246,72,41,67,Moderate
252,73,29,52,Moderate
268,123,40,35,Moderate
258,75,42,47,Moderate
314,181,27,62,Harmful
177,36,40,47,Safe
376,159,24,75,Harmful
387,166,24,43,Harmful
390,188,28,67,Harmful
115,20,34,57,Safe
412,168,27,62,Harmful
141,56,30,36,Safe
267,82,34,45,Moderate
164,52,42,46,Safe
201,73,36,30,Moderate
163,24,32,50,Safe
445,203,25,42,Harmful
324,258,34,33,Harmful
288,90,40,48,Moderate
247,76,27,31,Moderate
439,228,42,48,Harmful
373,235,41,59,Harmful
173,29,34,44,Safe
312,213,42,54,Harmful
214,91,31,61,Moderate
432,190,29,56,Harmful
437,164,26,58,Harmful
102,31,33,33,Safe
252,139,28,68,Moderate
328,224,33,47,Harmful
190,59,34,59,Safe
155,27,40,45,Safe
275,71,33,36,Moderate
262,93,25,59,Moderate
418,192,39,61,Harmful
324,168,30,43,Harmful
261,84,42,48,Moderate
279,119,42,46,Moderate
313,204,41,51,Harmful
371,218,33,55,Harmful
252,115,38,60,Moderate
400,204,37,46,Harmful
176,34,31,35,Safe
217,138,34,35,Moderate
288,71,33,66,Moderate
241,96,38,40,Moderate
188,38,41,65,Safe
268,122,38,64,Moderate
264,104,25,68,Moderate
323,194,31,48,Harmful
300,219,34,63,Harmful
273,137,30,54,Moderate
267,92,36,55,Moderate
248,73,31,61,Moderate
257,98,36,35,Moderate
148,63,41,70,Safe
114,21,39,73,Safe
111,26,28,50,Safe
348,179,36,48,Harmful
230,110,37,39,Moderate
268,94,27,69,Moderate
224,95,35,43,Moderate
376,154,41,56,Harmful
188,48,38,36,Safe
375,238,37,55,Harmful
278,116,31,62,Moderate
110,40,35,75,Safe
241,122,36,39,Moderate
266,139,40,61,Moderate
443,153,40,34,Harmful
117,26,32,33,Safe
376,204,40,67,Harmful
159,53,26,45,Safe
189,52,36,40,Safe
163,43,42,48,Safe
225,126,32,69,Moderate
189,40,26,60,Safe
159,41,40,40,Safe
100,62,27,35,Safe
436,185,32,72,Harmful
264,136,32,67,Moderate
388,260,31,59,Harmful
147,28,24,45,Safe
280,86,35,44,Moderate
416,160,32,38,Harmful
188,56,41,32,Safe
437,193,36,53,Harmful
123,37,28,70,Safe
220,126,33,64,Moderate
256,84,37,72,Moderate
242,83,31,51,Moderate
252,103,25,42,Moderate
231,101,42,65,Moderate
244,119,24,73,Moderate
281,113,24,73,Moderate
135,64,28,49,Safe
236,111,38,36,Moderate
426,160,27,38,Harmful
115,56,36,55,Safe
412,223,36,47,Harmful
366,234,40,36,Harmful
401,238,35,42,Harmful
190,47,36,35,Safe
337,174,30,56,Harmful
103,37,42,47,Safe
134,53,24,33,Safe
160,33,25,63,Safe
230,101,36,62,Moderate
184,62,40,50,Safe
318,207,36,65,Harmful
426,212,24,46,Harmful
177,36,40,72,Safe
262,73,28,44,Moderate
130,44,40,71,Safe
159,24,25,60,Safe
282,124,32,70,Moderate
392,259,40,75,Harmful
270,98,34,64,Moderate
336,252,40,45,Harmful
377,246,42,38,Harmful
263,129,41,31,Moderate
152,62,39,53,Safe
154,53,32,54,Safe
179,27,41,44,Safe
227,113,27,55,Moderate
145,48,28,40,Safe
145,21,32,32,Safe
335,259,33,33,Harmful
306,214,30,52,Harmful
318,260,25,73,Harmful
105,40,35,43,Safe
384,223,35,37,Harmful
388,183,30,39,Harmful
389,255,38,72,Harmful
382,171,35,48,Harmful
108,34,29,41,Safe
208,87,41,70,Moderate
420,260,30,41,Harmful
213,105,27,36,Moderate
443,254,40,39,Harmful
424,224,33,30,Harmful
405,235,33,30,Harmful
322,247,38,68,Harmful
225,134,28,67,Moderate
221,138,41,34,Moderate
219,90,31,49,Moderate
167,23,41,40,Safe
280,80,24,43,Moderate
244,131,28,55,Moderate
182,51,32,60,Safe
246,74,26,39,Moderate
150,44,24,42,Safe
226,101,28,45,Moderate
225,106,35,41,Moderate
203,75,34,59,Moderate
359,211,33,62,Harmful
395,169,39,66,Harmful
184,34,26,42,Safe
254,89,36,42,Moderate
176,53,30,40,Safe
437,186,36,61,Harmful
248,115,35,49,Moderate
102,57,27,52,Safe
204,120,36,46,Moderate
131,35,38,68,Safe
136,61,40,69,Safe
402,160,32,60,Harmful
405,215,31,65,Harmful
221,140,33,32,Moderate
211,118,28,34,Moderate
167,28,32,66,Safe
233,71,40,48,Moderate
126,23,25,39,Safe
219,75,28,75,Moderate
100,34,36,51,Safe
340,212,41,53,Harmful
399,241,36,72,Harmful
323,237,38,57,Harmful
449,242,36,52,Harmful
151,43,28,69,Safe
153,55,36,71,Safe
355,184,42,69,Harmful
116,54,29,54,Safe
267,75,30,69,Moderate
302,203,27,71,Harmful
322,187,42,45,Harmful
161,50,36,39,Safe
145,50,39,51,Safe
164,50,24,74,Safe
227,106,29,55,Moderate
313,157,33,53,Harmful
264,127,39,49,Moderate
177,43,30,37,Safe
235,105,37,64,Moderate
237,119,30,56,Moderate
149,43,33,62,Safe
344,227,32,46,Harmful
181,38,37,56,Safe
158,23,26,58,Safe
121,36,37,57,Safe
391,236,38,49,Harmful
262,114,38,54,Moderate
167,56,35,42,Safe
286,126,29,43,Moderate
440,182,38,72,Harmful
268,137,28,35,Moderate
276,133,34,42,Moderate
324,238,29,41,Harmful
138,42,28,42,Safe
352,259,24,38,Harmful
214,125,24,35,Moderate
138,25,30,55,Safe
145,58,41,74,Safe
251,130,26,57,Moderate
407,174,39,50,Harmful
405,163,24,63,Harmful
279,110,36,69,Moderate
216,72,42,75,Moderate
235,116,29,48,Moderate
219,70,41,69,Moderate
108,25,35,40,Safe
279,75,27,73,Moderate
169,50,38,55,Safe
121,47,24,38,Safe
110,23,35,52,Safe
111,24,41,53,Safe
134,30,31,41,Safe
411,227,41,41,Harmful
236,98,42,67,Moderate
359,180,34,59,Harmful
274,113,29,63,Moderate
279,123,25,39,Moderate
174,60,35,73,Safe
132,59,39,62,Safe
281,104,25,60,Moderate
149,30,42,41,Safe
190,39,29,60,Safe
441,208,42,68,Harmful
433,205,31,65,Harmful
126,55,24,50,Safe
172,43,37,68,Safe
403,232,37,57,Harmful
123,24,39,67,Safe
316,244,31,65,Harmful
250,139,24,40,Moderate
286,132,30,42,Moderate
268,91,26,53,Moderate
259,87,35,72,Moderate
428,175,29,51,Harmful
169,55,42,74,Safe
238,73,38,49,Moderate
124,38,27,62,Safe
148,21,26,68,Safe
167,59,29,35,Safe
404,243,32,69,Harmful
280,102,39,37,Moderate
119,36,35,40,Safe
201,109,27,63,Moderate
425,154,29,69,Harmful
119,30,33,54,Safe
275,92,30,55,Moderate
204,82,38,75,Moderate
363,247,36,45,Harmful
232,100,28,45,Moderate
264,109,26,51,Moderate
237,102,31,54,Moderate
229,123,32,75,Moderate
386,187,38,61,Harmful
450,189,42,59,Harmful
267,133,25,59,Moderate
261,91,33,41,Moderate
288,127,32,51,Moderate
101,42,24,56,Safe
282,94,38,62,Moderate
124,53,34,67,Safe
409,235,27,55,Harmful
435,165,34,72,Harmful
132,22,26,60,Safe
359,164,33,35,Harmful
402,229,33,47,Harmful
279,136,34,53,Moderate
346,194,37,33,Harmful
135,23,33,50,Safe
173,25,42,67,Safe
272,126,27,33,Moderate
261,123,28,31,Moderate
306,257,37,37,Harmful
306,183,26,56,Harmful
224,118,28,35,Moderate
116,51,39,68,Safe
180,53,31,56,Safe
392,181,30,55,Harmful
162,39,41,36,Safe
272,116,36,67,Moderate
411,191,36,62,Harmful
238,112,34,62,Moderate
306,231,40,55,Harmful
420,233,25,42,Harmful
116,37,30,71,Safe
156,24,34,62,Safe
394,172,30,47,Harmful
177,63,42,75,Safe
266,123,36,62,Moderate
374,159,34,63,Harmful
443,256,37,52,Harmful
119,27,25,69,Safe
258,105,36,34,Moderate
128,30,38,60,Safe
144,54,37,56,Safe
173,23,28,40,Safe
273,116,31,67,Moderate
171,24,28,31,Safe
361,194,38,52,Harmful
395,205,33,39,Harmful
317,190,35,45,Harmful
164,26,35,51,Safe
125,55,29,55,Safe
304,212,40,71,Harmful
288,131,39,67,Moderate
289,99,42,46,Moderate
131,39,28,31,Safe
110,39,37,56,Safe
270,97,24,71,Moderate
159,21,38,49,Safe
262,98,34,32,Moderate
118,53,30,42,Safe
189,35,29,73,Safe
401,166,34,47,Harmful
243,77,39,44,Moderate
147,65,30,52,Safe
117,56,26,39,Safe
245,73,33,35,Moderate
425,196,42,38,Harmful
146,63,27,55,Safe
168,51,28,36,Safe
276,102,36,50,Moderate
361,226,25,37,Harmful
170,33,31,49,Safe
190,34,36,75,Safe
304,241,37,53,Harmful
356,200,37,41,Harmful
144,65,40,58,Safe
397,247,31,61,Harmful
141,34,42,43,Safe
203,77,33,45,Moderate
236,79,38,48,Moderate
267,132,38,57,Moderate
319,158,40,49,Harmful
125,22,40,43,Safe
120,48,35,61,Safe
113,29,30,39,Safe
270,101,29,60,Moderate
308,228,24,65,Harmful
225,94,25,66,Moderate
288,107,33,56,Moderate
276,93,34,74,Moderate
184,53,26,44,Safe
402,194,31,37,Harmful
443,163,39,42,Harmful
278,84,29,73,Moderate
427,155,34,36,Harmful
318,247,41,63,Harmful
214,112,27,37,Moderate
433,251,38,65,Harmful
270,136,38,64,Moderate
421,174,31,42,Harmful
396,240,32,60,Harmful
324,255,39,63,Harmful
407,195,30,41,Harmful
157,54,24,66,Safe
271,129,36,54,Moderate
119,23,25,58,Safe
161,47,41,52,Safe
215,99,39,48,Moderate
317,195,40,42,Harmful
271,127,37,42,Moderate
255,140,31,34,Moderate
269,103,34,69,Moderate
157,56,39,31,Safe
210,112,26,51,Moderate
121,52,28,57,Safe
372,249,28,54,Harmful
311,252,40,30,Harmful
252,72,39,52,Moderate
149,42,27,57,Safe
189,28,30,63,Safe
285,125,41,57,Moderate
238,132,39,61,Moderate
161,38,30,51,Safe
266,92,33,38,Moderate
300,226,28,36,Harmful
252,74,32,33,Moderate
154,32,31,67,Safe
269,116,41,69,Moderate
253,139,41,30,Moderate
208,103,27,38,Moderate
184,45,39,39,Safe
180,59,28,55,Safe
394,199,28,52,Harmful
265,115,31,30,Moderate
158,56,31,35,Safe
380,256,35,35,Harmful
208,134,31,70,Moderate
356,247,32,49,Harmful
204,140,31,46,Moderate
163,40,36,34,Safe
122,63,33,74,Safe
362,243,38,43,Harmful
346,229,26,42,Harmful
169,41,39,70,Safe
368,225,27,68,Harmful
284,91,38,68,Moderate
434,154,33,32,Harmful
276,127,38,62,Moderate
128,21,24,61,Safe
410,198,24,73,Harmful
446,220,41,51,Harmful
407,227,38,32,Harmful
171,55,24,52,Safe
340,159,25,73,Harmful
304,194,28,55,Harmful
103,47,38,44,Safe
398,239,41,42,Harmful
274,75,28,58,Moderate
270,112,41,53,Moderate
435,160,41,34,Harmful
286,79,34,65,Moderate
170,31,33,50,Safe
190,61,28,44,Safe
218,70,33,75,Moderate
352,185,24,33,Harmful
214,91,39,59,Moderate
158,51,40,31,Safe
105,43,42,50,Safe
275,116,34,46,Moderate
264,76,31,31,Moderate
101,47,38,75,Safe
375,228,40,37,Harmful
285,71,26,54,Moderate
235,71,26,56,Moderate
131,36,30,32,Safe
349,226,30,70,Harmful
391,190,34,39,Harmful
264,134,26,54,Moderate
159,47,25,67,Safe
427,199,35,40,Harmful
378,155,27,66,Harmful
395,210,42,65,Harmful
266,104,27,45,Moderate
346,226,35,61,Harmful
369,173,31,72,Harmful
121,34,38,40,Safe
116,29,33,48,Safe
340,241,25,62,Harmful
268,139,28,53,Moderate
201,125,27,64,Moderate
208,139,25,52,Moderate
252,124,36,67,Moderate
397,156,42,37,Harmful
142,63,41,73,Safe
169,22,32,60,Safe
352,225,42,63,Harmful
224,136,41,73,Moderate
319,161,32,65,Harmful
216,94,37,72,Moderate
180,60,29,49,Safe
118,30,37,56,Safe
138,28,30,53,Safe
375,219,38,54,Harmful
167,26,33,62,Safe
320,162,33,58,Harmful
272,133,29,71,Moderate
165,38,37,67,Safe
210,76,39,53,Moderate
409,186,24,47,Harmful
380,234,40,33,Harmful
226,123,42,61,Moderate
147,31,26,75,Safe
186,23,35,54,Safe
288,107,42,69,Moderate
236,137,24,45,Moderate
203,117,40,39,Moderate
377,222,39,52,Harmful
156,35,34,42,Safe
394,218,32,71,Harmful
347,259,36,37,Harmful
152,45,29,67,Safe
382,162,33,70,Harmful
404,167,26,49,Harmful
141,55,37,37,Safe
273,91,33,68,Moderate
419,210,27,47,Harmful
110,54,27,39,Safe
240,140,32,48,Moderate
221,124,27,47,Moderate
180,24,27,70,Safe
244,102,37,73,Moderate
226,117,30,74,Moderate
234,75,37,65,Moderate
234,132,40,51,Moderate
227,110,40,62,Moderate
346,173,27,46,Harmful
327,224,24,51,Harmful
218,104,31,75,Moderate
372,248,24,72,Harmful
131,53,38,64,Safe
156,51,39,46,Safe
282,132,29,74,Moderate
419,260,37,34,Harmful
257,87,25,50,Moderate
124,58,36,70,Safe
276,77,37,67,Moderate
393,212,24,48,Harmful
230,92,42,58,Moderate
403,244,42,62,Harmful
323,154,41,45,Harmful
340,200,30,58,Harmful
351,243,27,58,Harmful
368,228,33,46,Harmful
222,133,30,68,Moderate
286,130,35,55,Moderate
173,25,26,58,Safe
410,191,32,30,Harmful
113,63,28,39,Safe
223,101,31,56,Moderate
203,87,28,53,Moderate
223,93,42,75,Moderate
115,30,31,38,Safe
110,52,24,47,Safe
311,174,27,36,Harmful
312,191,25,50,Harmful
306,184,32,61,Harmful
106,42,27,32,Safe
240,131,38,66,Moderate
400,153,38,39,Harmful
210,131,26,43,Moderate
276,101,40,70,Moderate
266,138,30,73,Moderate
443,253,30,43,Harmful
358,163,27,44,Harmful
160,62,26,54,Safe
308,231,35,62,Harmful
188,43,27,63,Safe
385,242,34,71,Harmful
301,167,30,65,Harmful
142,25,31,52,Safe
241,99,31,64,Moderate
218,90,28,73,Moderate
155,30,39,32,Safe
177,33,29,47,Safe
259,84,24,62,Moderate
158,21,29,52,Safe
423,166,35,51,Harmful
371,231,32,65,Harmful
381,153,42,54,Harmful
276,75,28,53,Moderate
430,175,27,38,Harmful
185,20,28,72,Safe
445,151,39,40,Harmful
158,26,30,72,Safe
256,70,31,65,Moderate
180,60,38,47,Safe
164,57,41,34,Safe
144,46,28,44,Safe
146,34,31,59,Safe
212,127,25,39,Moderate
137,41,31,52,Safe
274,75,28,50,Moderate
117,40,34,32,Safe
449,209,34,43,Harmful
151,62,40,47,Safe
157,20,36,63,Safe
229,86,39,69,Moderate
249,98,28,46,Moderate
272,100,41,56,Moderate
309,221,32,41,Harmful
273,107,39,68,Moderate
287,89,32,65,Moderate
111,43,38,42,Safe
138,57,38,73,Safe
257,107,28,38,Moderate
362,196,24,71,Harmful
264,81,25,72,Moderate
256,132,28,73,Moderate
319,252,24,71,Harmful
208,89,24,37,Moderate
343,238,37,43,Harmful
144,55,29,32,Safe
364,197,25,59,Harmful
326,159,24,40,Harmful
332,185,31,67,Harmful
301,244,39,32,Harmful
121,26,39,31,Safe
420,182,32,73,Harmful
141,54,41,51,Safe
158,20,36,32,Safe
283,85,28,58,Moderate
398,163,40,53,Harmful
435,233,28,30,Harmful
158,44,36,40,Safe
249,130,35,71,Moderate
288,105,36,49,Moderate
171,32,31,59,Safe
122,27,28,34,Safe
257,112,40,74,Moderate
357,163,26,74,Harmful
316,170,42,31,Harmful
149,28,34,36,Safe
420,240,29,42,Harmful
203,122,31,46,Moderate
393,204,39,49,Harmful
133,30,26,38,Safe
290,100,33,61,Moderate
253,119,37,62,Moderate
270,84,34,65,Moderate
399,206,34,36,Harmful
257,114,33,57,Moderate
216,94,25,65,Moderate
158,60,40,54,Safe
410,256,33,46,Harmful
436,191,30,62,Harmful
369,221,32,32,Harmful
243,78,40,33,Moderate
251,102,41,41,Moderate
131,48,28,41,Safe
206,131,42,73,Moderate
315,210,25,63,Harmful
246,128,42,67,Moderate
128,27,30,51,Safe
420,191,33,71,Harmful
327,223,38,67,Harmful
178,41,29,37,Safe
405,208,29,74,Harmful
179,55,28,43,Safe
106,42,27,61,Safe
144,27,37,58,Safe
125,65,38,30,Safe
439,173,30,65,Harmful
367,168,34,75,Harmful
257,122,39,75,Moderate
135,37,27,74,Safe
385,150,39,45,Harmful
327,171,42,68,Harmful
113,26,28,43,Safe
271,95,31,64,Moderate
327,215,40,64,Harmful
130,56,38,61,Safe
406,258,41,75,Harmful
182,22,33,39,Safe
422,159,24,62,Harmful
157,22,26,31,Safe
155,21,31,44,Safe
162,63,29,34,Safe
156,47,38,74,Safe
237,108,41,75,Moderate
414,228,34,45,Harmful
208,106,28,53,Moderate
411,247,38,64,Harmful
353,234,31,33,Harmful
190,27,25,63,Safe
120,46,27,55,Safe
141,24,29,32,Safe
168,64,40,52,Safe
272,100,36,42,Moderate
184,25,32,36,Safe
232,110,28,65,Moderate
439,246,26,52,Harmful
255,81,26,75,Moderate
230,111,35,47,Moderate
285,121,26,43,Moderate
394,213,42,47,Harmful
320,239,28,56,Harmful
362,194,24,74,Harmful
276,75,25,45,Moderate
146,65,27,52,Safe
385,159,40,43,Harmful
230,138,34,75,Moderate
108,24,30,67,Safe
383,176,28,33,Harmful
102,46,38,57,Safe
171,43,26,44,Safe
208,129,36,71,Moderate
169,60,40,37,Safe
142,27,30,33,Safe
276,112,35,71,Moderate
278,89,30,71,Moderate
149,64,31,70,Safe
329,156,40,54,Harmful
243,97,28,69,Moderate
201,99,27,47,Moderate
144,54,34,73,Safe
140,29,40,68,Safe
217,109,42,68,Moderate
287,130,33,50,Moderate
